trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
127,Normal,1,PredRedLPP,0,100.0083,1.399999,8,0.01564405,0.1736635
128,Normal,0,PredRedLPP,3,100.0032,2.6,7.142858,0.04023902,0.2118194
128,Normal,1,PredRedLPP,3,99.96834,2.857143,8.333334,0.09521909,0.3069153
129,Normal,0,PredRedLPP,1,100.0047,1.399999,7.142858,0.05342882,0.2439928
129,Normal,1,PredRedLPP,2,99.98083,2.6,6.857142,0.03802698,0.2796609
130,Normal,0,PredRedLPP,2,99.97425,2.6,10,0.04797506,0.3008458
130,Normal,1,PredRedLPP,1,99.99753,2.6,5.142857,0.0937348,0.2278594
131,Normal,0,PredRedLPP,3,99.99841,1.399999,8,0.04324321,0.2379622
131,Normal,1,PredRedLPP,6,99.98141,2.6,10,0.05871386,0.2865131
132,Normal,0,PredRedLPP,1,100.0007,1.399999,5.714286,0.02939066,0.1982964
132,Normal,1,PredRedLPP,3,99.98458,3.228572,8.571428,0.1261649,0.3094074
133,Normal,0,PredRedLPP,0,100.0052,1.399999,8,0.01673639,0.2227536
133,Normal,1,PredRedLPP,1,99.97839,1.857144,7.142858,0.02029288,0.167663
134,Normal,0,PredRedLPP,0,99.99462,2.228572,8,0.01227126,0.1753038
134,Normal,1,PredRedLPP,0,99.97311,1.199999,2.571428,0.06368855,0.235353
135,Normal,0,PredRedLPP,0,100.0053,1.166666,8,0.002922754,0.1416643
135,Normal,1,PredRedLPP,1,99.97109,2.600001,6.857142,0.02769658,0.201859
136,Normal,0,PredRedLPP,3,100.0018,2.6,6.666667,0.06098592,0.2585702
136,Normal,1,PredRedLPP,4,99.97041,2.666668,10,0.1413926,0.3497037
137,Normal,0,PredRedLPP,6,100.0031,2.600001,10,0.08698528,0.2443644
137,Normal,1,PredRedLPP,8,99.97816,2.600001,10,0.09249862,0.2540256
138,Normal,0,PredRedLPP,4,99.99911,3.428571,10,0.06549017,0.2806724
138,Normal,1,PredRedLPP,4,99.97234,3.800001,10,0.08137254,0.2849674
