trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
125,Normal,0,PredRedLPP,8,99.97371,3.800001,2.666667,0.1531175,0.127498
126,Normal,0,PredRedLPP,8,99.96812,4,2.666667,0.1485032,0.1191828
127,Normal,0,PredRedLPP,7,99.96584,4,2.666667,0.1708479,0.1528336
128,Normal,0,PredRedLPP,8,99.96938,4,2.666667,0.1757716,0.2250031
129,Normal,0,PredRedLPP,8,99.97633,4,2.666667,0.1500303,0.1287126
130,Normal,0,PredRedLPP,8,99.97588,4,2.285714,0.2092676,0.1802834
131,Normal,0,PredRedLPP,7,99.96833,3.628572,2.285714,0.1709818,0.1534888
132,Normal,0,PredRedLPP,7,99.96399,3.333334,2.285714,0.1474915,0.1300327
133,Normal,0,PredRedLPP,8,99.97997,3.428571,2.666667,0.1783303,0.2087755
134,Normal,0,PredRedLPP,8,99.9696,4,2.666667,0.1803813,0.1660985
135,Normal,0,PredRedLPP,7,99.97284,4,2.666667,0.1610926,0.1395583
136,Normal,0,PredRedLPP,8,99.9715,3.428572,2.666667,0.145024,0.1216741
137,Normal,0,PredRedLPP,8,99.97492,3.428571,2.666667,0.1549583,0.1355753
138,Normal,0,PredRedLPP,7,99.98081,3.428572,2.285714,0.1582441,0.1394065
139,Normal,0,PredRedLPP,8,99.98379,4,2.666667,0.1488117,0.128194
140,Normal,0,PredRedLPP,8,99.97708,3.428572,2.666667,0.1985486,0.171629
141,Normal,0,PredRedLPP,8,99.97751,3.333334,2.666667,0.1473748,0.1226234
142,Normal,0,PredRedLPP,7,99.98176,3.428572,2.285714,0.1644231,0.1456652
143,Normal,0,PredRedLPP,8,99.96845,3.428572,2.222222,0.1699132,0.1512768
144,Normal,0,PredRedLPP,8,99.98399,3.3,2.285714,0.1748455,0.1585841
145,Normal,0,PredRedLPP,7,99.98444,4,2.666667,0.1662963,0.1463257
146,Normal,0,PredRedLPP,8,99.97209,4,2.666667,0.1530957,0.1374896
147,Normal,0,PredRedLPP,8,99.97199,3.6,2.666667,0.1495116,0.1307635
148,Normal,0,PredRedLPP,8,99.9645,4,2.666667,0.1443645,0.121617
149,Normal,0,PredRedLPP,7,99.99644,4,2.666667,0.1843828,0.2102294
150,Normal,0,PredRedLPP,8,99.98033,4,2,0.1887873,0.1717304
151,Normal,0,PredRedLPP,8,99.98104,3.600001,2.222222,0.1746471,0.1572686
152,Normal,0,PredRedLPP,8,99.97406,4,1.904762,0.1530164,0.1263341
153,Normal,0,PredRedLPP,8,99.98382,3.428571,2.666667,0.1457648,0.1229216
154,Normal,0,PredRedLPP,8,99.96718,4,2.666667,0.163945,0.1497914
155,Normal,0,PredRedLPP,8,99.98475,3.333334,2.666667,0.1650213,0.1450915
156,Normal,0,PredRedLPP,8,99.97701,3.533334,2.666667,0.1544149,0.1322218
157,Normal,0,PredRedLPP,7,99.96358,4,2.666667,0.1795779,0.158009
158,Normal,0,PredRedLPP,8,99.97022,4,2.666667,0.149775,0.124984
159,Normal,0,PredRedLPP,8,99.9668,3.428572,2.285714,0.1593097,0.1377103
160,Normal,0,PredRedLPP,8,99.96994,4,2.666667,0.1621727,0.1448218
161,Normal,0,PredRedLPP,8,99.9812,3.228571,2.666667,0.1530302,0.1956365
162,Normal,0,PredRedLPP,7,99.99095,3.533334,2.666667,0.166914,0.1487764
163,Normal,0,PredRedLPP,8,99.98379,3.333334,2.666667,0.1553134,0.1367876
164,Normal,0,PredRedLPP,8,99.97029,4,2.666667,0.1432124,0.1223045
165,Normal,0,PredRedLPP,8,99.96697,4,2.666667,0.1417271,0.1163446
166,Normal,0,PredRedLPP,8,99.97723,3.200001,2.666667,0.1487603,0.1246987
167,Normal,0,PredRedLPP,8,99.98203,4,2.666667,0.1465448,0.1272741
168,Normal,0,PredRedLPP,7,99.97281,4,2.285714,0.1597903,0.1377913
169,Normal,0,PredRedLPP,8,99.98214,4,2.666667,0.1454215,0.1199614
170,Normal,0,PredRedLPP,7,99.97957,4,2.285714,0.1549969,0.1284029
171,Normal,0,PredRedLPP,7,99.96576,4,2.666667,0.1869169,0.1678634
172,Normal,0,PredRedLPP,7,99.97828,3.428571,2.666667,0.1426395,0.1255332
173,Normal,0,PredRedLPP,8,99.96919,3.333334,2.285714,0.1510341,0.1264628
174,Normal,0,PredRedLPP,8,99.97234,4,2.666667,0.1865557,0.1713288
175,Normal,0,PredRedLPP,8,99.9641,4,2.666667,0.1457315,0.1347123
176,Normal,0,PredRedLPP,8,99.9725,3.800001,2.666667,0.1677757,0.1469355
177,Normal,0,PredRedLPP,7,99.97636,4,2.666667,0.1569833,0.1356152
178,Normal,0,PredRedLPP,8,99.96999,4,2.666667,0.165094,0.1503487
179,Normal,0,PredRedLPP,8,99.96811,4,2.666667,0.1631705,0.1910734
180,Normal,0,PredRedLPP,8,99.97585,3.428571,2.666667,0.1732778,0.2402756
181,Normal,0,PredRedLPP,7,99.98399,4,2.285714,0.1519424,0.1298484
182,Normal,0,PredRedLPP,8,99.97261,4,2.666667,0.1758456,0.1552093
183,Normal,0,PredRedLPP,7,99.96821,3.428571,2.666667,0.1532218,0.133357
184,Normal,0,PredRedLPP,8,99.97995,4,2.666667,0.1534524,0.1260771
185,Normal,0,PredRedLPP,11,99.99146,4,1.777778,0.07968666,0.03483318
186,Normal,0,PredRedLPP,8,99.97515,3.766667,2.666667,0.1538509,0.1331925
